Job Title,Description
Data Analyst,"job overview were seeking a data analyst to turn reports from dispatch, safety, accounting, and maintenance into actionable insights and visual dashboards. youll help drive smarter decisions across our trucking operations by translating data into strategies that improve efficiency and performance. key responsibilities analyze data across departments to uncover trends and recommend improvements build and maintain dashboards to track kpis cost per mile, fuel efficiency, driver performance, etc. collaborate with team leads to identify reporting needs and deliver insights conduct etl processes to clean and prepare data present findings clearly via reports and visualizations requirements proficient in excel and power bi, tableau or similar tools strong data analysis and critical thinking skills experience with sql and etl processes preferred bonus familiarity with python or r excellent communication skillsable to simplify complex data for stakeholders understanding of logistics or trucking industry is a plus job type fulltime pay 45,000.00 58,000.00 per year schedule monday to friday education bachelors required language spanish preferred ability to commute laredo, tx 78045 required work location in person"
Data Reporting Analyst,"about wspc wspc is a cooperative of outstanding independent pharmacies. the leaders of wspc are seasoned independent pharmacy owners, and our staff has significant experience in the pharmacy business. our team members are at the heart of everything we do. at wspc, we are united in our responsibility to create healthier futures, and every person here is essential to our ability to deliver on that purpose. if you want to make a difference, apply today objective the data reporting analyst operates within the retail pharmacy industry and will be focused on data reporting and analysis. the data report analyst is responsible for providing timely, accurate, businessrelevant insights, reporting, and audits, including basic analysis and appropriate context to team members across the organization and memberfacing analysis when needed. reporting this position reports to the evp, project management pricing. essential functions research and understand the industry, company, and member data and trends to provide context for distributed reports. excellent workplace skills because the role involves working closely with team members across the business and must translate complex information to the business in a format that people can understand. monitor and analyze kpis to achieve the goals of the business. collecting, entering, analyzing, and interpreting business data to use in reports. maintaining databases, dashboards, and reporting software. perform regular data quality audits of multiple reports, data sources, and systems, including the ability to identify and rectify missing, bad, or anomalous data. design and develop dashboards, tools, and systems for reporting data. leverage multiple data sources across the company to create standardized and ad hoc reporting for the business operations team. create tools and reporting that provide fundamental analysis and insight into our member pharmacies and our sales and account team through reports. create new and updated existing reporting that provides fundamental analysis, conveys the wspc organizations performance historical and current and realtime value, and shows potential for additional value or benefits. training other staff on developing and presenting data contained within the reports, dashboards, and tools. other tasks and special projects as assigned. required education and experience bachelors degree or equivalent combination of education, experience, and certifications. 35 years experience working as a data analyst, report analyst, or equivalent role based on the responsibilities and qualifications cited herein. strong knowledge of microsoft office, with specific emphasis on access, excel, power query, advanced functions, and vba. knowledgeable of microsoft powerbi, including data modeling, dax, and creating visualizations. must have a basic understanding of best practices related to power bi and all related resources must be knowledgeable of sql and able to apply it to realworld problems. knowledge of the following computer programs and languages is desired python, javascript, powershell, windows scripting, html, coding ides, tableau, qlik, salesforce, adobe suite, sharepoint, languages or platforms that are similar or have similar functionality, as the aforementioned. understand fundamentals and importance of data integrity, stewardship, and governance. business competencies have an inherent interest in being involved and helping others, customerfocused excellent planning, organizational, and time management skills strong mathbased knowledge analytical and conceptual thinking interested in determining the source of a problem and finding an effective solution strong written and verbal communication ability to actively listen and communicate ideas smoothly and with confidence, written and verbally visualizing and storytelling the data findings explanation of technical concepts to nontechnical users experience creating detailed reports and giving presentations excellent documentation skills initiative to continually learn, adapt, and grow supervisory responsibility none work environment this job operates in a remote environment. the employee routinely uses standard office equipment, such as computers, phones, photocopiers, filing cabinets, and efaxes. essential physical functions while performing the duties of this position, the employee is regularly required to talk or hear. the employee must be able to listen and understand complex information, remember and convey complex information correctly, perform math, analysis, and other mental functions, maintain focus over long periods, and work extended hours on certain days. the employee frequently uses hands to finger, handle, or feel objects, tools, or controls. the employee is occasionally required to stand, walk, sit, reach with hands and arms, climb or balance, and stoop, kneel, crouch, or crawl. the employee is required to be able to travel via airplane for companysponsored events. the employee must occasionally lift andor move objects up to 25 pounds. this position requires specific vision abilities, including close vision, distance vision, color vision, peripheral vision, and the ability to adjust focus. position typeexpected hours of work this is a fulltime position with at least 40 hours a week. it regularly requires long hours and possibly weekend work. remote position, preferably someone on the west coast. please, no phone calls or emails about the position. job type fulltime pay 69,500.00 87,000.00 per year benefits dental insurance disability insurance health insurance health savings account life insurance paid holidays paid time off retirement plan vision insurance work from home application questions have you been a data analyst before have you worked with power bi do you have experience in python do you have experience in sql are you an expert in microsoft access and excel work location remote"
Data Analyst (Power BI/Python),"data analyst power bipython employment type full time onsite 4 days annexa inc is currently working with the department of licensing and consumer protection dlcp and we are looking for an experienced and versatile project manager to help manage complex technology projects and products from initiation to completion and to play a key role in utilizing data to identify problems risks, design solutions, and monitor their effectiveness. responsibilities leads team on large projects or significant segment of large complex projects. analyzes new and complex project related problems and creates innovative solutions involving finance, scheduling, technology, methodology, tools, and solution components. provides applications systems analysis and programming activities for a government site, facility, or multiple locations. prepares long and shortrange plans for application selection, systems development, systems maintenance, and production activities and for necessary support resources. oversees all aspects of projects. required skills expertise in excel, power bitableau, python, and sql to collect, manipulate, and interpret data advanced experience in building analytical dashboards to support informed decision making experience designing and conducting data analysis projects and needs assessments to gather insights and identify opportunities for improvement. strong understanding of statistical methods and analytical principles. ability to effectively communicate data insights to both technical and nontechnical audiences. experience in managing it systems andor improvement efforts of it systems strong quality assurance, data validation, and testing capabilities experience in the role of project manager for technical projects using formal project management methodologies traditional waterfall, agile, etc. strong communication, collaboration and stakeholder management skills. coordinate with crossfunctional project teams, and senior leaders, monitoring, and evaluation throughout the project lifecycle. develop and manage project timelines, forecasting requirements. delays and optimizing resource allocation. bachelors degree preferably in computer science, information technology, or a related field advanced degree preferred. professional certification in project management e.g., pmp, prince2, scrum master is highly desirable. minimum of 5 years of experience in project management, preferably in it or technologyrelated domains. proven track record in leading complex projects from inception to successful delivery. strong analytical and quality assurance skills, with the ability to interpret complex data and present findings clearly. excellent communication and interpersonal skills, with the ability to collaborate effectively with crossfunctional teams. 1115 yrs. developing project scopes and plans 1115 yrs. managing and tracking program progress against the project plan in an enterprise environment 1115 yrs. preparing status reports 1115 yrs. experience with ms project or similar project planning software 13 yrs experience in managing it systems andor improvement efforts of it systems bachelors degree in it or related field or equivalent experience or a current pmp certification desired skills 11 yrs expertise in excel, power bitableau, python, and sql to collect, manipulate, interpret data advanced experience in building analytical dashboard. 13 yrs develop and manage project timelines and forecasting requirements. delays and optimizing resource allocation. 11 yrs proven track record in leading complex projects from inception to successful delivery. 11 yrs coordinate with crossfunctional project teams, and senior leaders, monitoring, and evaluation throughout the project lifecycle. 11 yrs strong communication, collaboration and stakeholder management skills. 11 yrs strong analytical and quality assurance skills, with the ability to interpret complex data and present findings clearly."
Data & Reporting Analyst,"our company pharmerica overview the data reporting analyst position is responsible for leveraging data and analytics to support client strategy and partnership department operations in order to facilitate conversation on how best to support and report on various performance of the account management teams. responsibilities works with the client strategy and partnership teams to provide key monthly performance metrics on various measures aligned to company priorities on a recurring and adhoc basis. develops monthly processes to create performance reports in timely manner in conjunction with data availability effectively coordinates and communicates reporting activities and documents all processes and helps maintain procedures for organization helps design reports, dashboards, and scorecards using tools such as microsoft excel or power bi establishes kpis to measure the effectiveness of business decisions performs data analysis on retention and renewal performance, group purchasing partner pipeline management and rebate preparation, quarterly am team retention performance and other client performance metrics reviews strategic account portfolio and identifies ways to represent business portfolio and opportunity focus generates excel reports from microsoft dynamics crm to optimize kpi information on renewalretention and loss data as part of monthly cadence prepares am teams quarterly bonuses incentive ensures membership list accuracy and gpo reporting process milestones achieved quarterly tracks overall progress of strategic account plan execution for growth creates presentations and reports based on recommendations and findings maintains department headcount report and roster changes for leadership communicates directly with director, client strategy and svp, client strategy and partnerships in development of reports, as well as testing for data accuracy and reliability responds to data requests in a timely and efficient manner with the highest level of quality seeks customer satisfaction on all endeavors additional responsibilities may be required conducts job responsibilities in accordance with the standards set out in the companys code of business conduct and ethics, its policies and procedures, the corporate compliance agreement, applicable federal and state laws, and applicable professional standards qualifications bachelors degree in business administration, computer sciencecis, or related fields. a combination of education and work experience will be taken into consideration experience in data analysis education will be consideration. strong analytical and critical thinking skill excellent verbal and written communication skills strong interpersonal skills to work effectively with internal and external customers demonstrated ability to handle multiple tasks simultaneously and to prioritize accordingly proven ability to work with a high degree of accuracy and attention to detail proficient in all microsoft office products including excel, powerbi, access, powerpoint, and word experience working with sas, cognos, sql, server manager, or other database management software is plus selfstarter with a commitment to continuous process improvements and improved service levels about our line of business pharmerica, an affiliate of brightspring health services, is a fullservice pharmacy solution providing value beyond medication. pharmerica is the longterm care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations, and postacute care organizations. pharmerica is one of the nations largest pharmacy companies, offering unmatched company culture, employee development, and advancement opportunities. for more information, please visit www.pharmerica.com. follow us on facebook, linkedin, and x."
Data Quality Analyst (Remote Opportunity),"vetsez is seeking a data quality analyst tester to join our team supporting the data migration syndication efforts within the electronic health record modernization integration office ehrmio for the department of veterans affairs. this role is critical in ensuring the accuracy and integrity of vast datasets that are crucial to modernizing veterans healthcare. the candidate must reside within the continental us. responsibilities execute and monitor daily data quality dq checks using iris dq tools for multiple sites and extensive datasets. investigate and resolve data quality discrepancies and collaborate with iris developers on findings and updates. gather requirements, implement, test, and deploy new data quality capabilities. monitor and maintain dq container environments and manage dq server issues. oversee dq applications and manage user access and permissions. compile, update, and distribute various reports, including data quality progress and vx130 historical pull status reports. facilitate weekly data quality meetings and document dq tools and processes. enhance, test, and execute data extract programs across various data domains and troubleshoot issues with migrated data. create and validate adhoc sql queries and review monthly progress reports for accuracy. requirements bachelors degree in computer science, electronics engineering, or related technical field. experience with automation, monitoring, design, or data mapping tools. proficiency in writing sql queries strong problemsolving and troubleshooting skills knowledge of database architecture, administration, and security for both onpremise and cloudhosted systems. strong communication skills with the ability to lead technical discussions and present information clearly to meet customer needs. additional qualifications experience with the va or other federal organizations. familiarity with data migration and syndication within the va. familiarity with intersystems products, mirantis kubernetes container platform, power bi, github, linux, and scrum methodology. experience with dq applications such as dq tool, event tracker, dmm ticketing, and journal search tool. ability to obtain a government clearance. benefits medicaldentalvision 401k with employer match pto federal holidays corporate laptop training opportunities remote opportunity qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status. sorry, we are unable to offer sponsorship at this time."
Data Analyst,"synergy family services, inc. sfs is a dynamic outpatient mental health center focused on providing strengths based, culturally proficient services to enhance the social, emotional, behavioral health and wellness of individuals and families. our goal is to help individuals and families identify and reach goals such as specific symptom relief, selfawareness, selfefficacy, recovery and the enhancement of well being. job summary a senior data analyst in the quality assurance qa department at sfs should have a combination of technical expertise, analytical abilities, and specialized skills to drive datainformed decisionmaking and uphold high standards of care. below is a list of key skills required for this role job title senior data analyst job type contractual, with an estimated commitment of approximately 20 hours per week. job responsibilities collaborate with clinical, administrative, and qa team to understand their data needs and translate findings into actionable recommendations. review, clean and analyze data for patterns and trend prepare reports on data findings structure large data sets to meet reporting needs ensure that the data collected is accurate , complete, and up to date use data to identify gaps or disparities in care to improve service delivery and quality of care create visual representation using tools like google sheetsexcel to communicate insights effectively other duties as assigned qualifications 1.technical skills data management the individual should have expertise in managing, cleaning, and organizing large datasets from various sources including our electronic health records ehrs, surveys, and operational metrics. proficiency in data extraction tools and techniques data analysis and statistical expertise good knowledge of statistical methods to analyze trends and identify performance gaps. data visualization skilled in creating visual representation using tools like google sheetsexcel to communicate insights effectively. ability to present complex data in a simple, accessible and actionable format for different stakeholders. 2.behavioral health knowledge understanding of behavioral health metrics familiarity with key performance indicators kpis in behavioral health. knowledge of outcomes measurement specific to behavioral health settings. regulatory and compliance knowledge awareness of regulations such as hipaa, carf, and how they influence data collection, reporting, and quality improvement. clinical and operational insight understanding of workflows and processes in behavioral health services, including therapy, psychiatry, and case management, to contextualize data findings 3.communication and collaboration skills stakeholder engagement ability to work closely with clinical, administrative, and qa team to understand their data needs and translate findings into actionable recommendations. strong presentation skills to explain technical concepts and data insights to nontechnical audiences. report writing expertise in preparing detailed, clear, and concise reports that summarize findings, methodologies, and recommendations. experience tailoring reports to meet the needs of diverse stakeholders, such as leadership, clinicians, and external auditors. 4.project and process management project oversight experience managing data projects, including setting timelines and ensuring deliverables meet quality standards. process skilled in identifying inefficiencies in data collection and reporting processes and implementing improvements to enhance accuracy and timeliness. 5.technological proficiency proficiency in using ehr platform and tools for data extraction and analysis. 6.ethical and confidentiality standards ability to mentor and supervise qa analysts and foster a culture of data literacy within the qa department. commitment to maintaining the confidentiality and security of sensitive client and agency data in compliance with hipaa and other regulations. adherence to ethical standards in data handling, analysis, and reporting to ensure unbiased and accurate results."
"Data Reporting Analyst- (***YORK, PA***)","eastern lift truck co. data reporting analystreporting specialist york, pa must be able to physically report to office location job summary the reporting specialist will be an integral team member to our business system reporting department. this individual will primarily be responsible for generating reports and creating visualizations and dashboards that provide insights into key performance indicators and other relevant metrics for stakeholders. the ideal candidate will possess strong analytical skills, attention to detail, and a deep understanding of data management principles. this position plays a crucial role in collecting and analyzing data to support business decisionmaking. there is a potential hybrid schedule option once the individual is trained and uptospeed on the essential functions of the position. key responsibilities collect data from various sources to generate actionable insights develop, maintain and automate reports create dashboards and visualizations using tools such as power bi and excel collaborate with crossfunctional teams to gather reporting requirements and provide analytical support ensure data accuracy and integrity through regular audits and validations stay updated on industry trends, tools and best practices in data reporting requirements bachelors degree in finance, business, data analytics, or a related field 2 years of professional fulltime experience in reporting, data analysis or similar type role prior experience in accounting preferred proficient in power bi is a must advanced excel skills and experience with relational databases crystal report experience also a plus strong analytical skills with attention to detail and ability to communicate effectively ability to understand and interpret data from a variety of sources present findings in a clear and actionable manner to both technical and nontechnical stakeholders. excellent problem solving and organizational skills benefits medical, dental, vision, and prescription plan. 401k with partial company match, paid vacation and sick days, paid holidays, short longterm disability, and basicsupplemental life insurance policies. who is eastern lift truck co. eastern lift truck co., is a familyowned company, celebrating over 50 years strong. we provide sales, parts, rentals, and service in all areas of the lift truck, material handling and allied product business. at eastern lift truck co., we know that the employees are the heart and soul of the company. find out more at www.easternlifttruck.com eastern lift truck co. is an equal opportunityaffirmative action employer including disabledvets"
Product Data Analyst,"who we are addepar is a global technology and data company that helps investment professionals provide the most informed, precise guidance for their clients. hundreds of thousands of users have entrusted addepar to empower smarter investment decisions and better advice over the last decade. with client presence in more than 45 countries, addepars platform aggregates portfolio, market and client data for over 7 trillion in assets. addepars open platform integrates with more than 100 software, data and services partners to deliver a complete solution for a wide range of firms and use cases. addepar embraces a global flexible workforce model with offices in silicon valley, new york city, salt lake city, chicago, london, edinburgh and pune. the role we are currently seeking a senior businessproduct analyst to join our business analytics team our team is passionate about empowering everyone to make datadriven decisions about product design, client management, and business priorities. we play an important role in ensuring peoples valuable time and efforts are spent on solving the right problem the right way. you will develop a keen understanding of our clients, products, and product development workflows. you will use your curiosity and analytical skills to support major company initiatives, from defining and monitoring success metrics, dissecting user behaviors, and gathering and analyzing additional data to support decisions along the way. addepar takes a marketbased approach to pay. a successful candidates starting pay will be determined based on the role, jobrelated skills, experience, qualifications, work location, and market conditions. the range displayed on each job posting reflects the minimum and maximum target base salary for roles in colorado, california, and new york. the current range for this role is 86,000 135,000 base salary bonus equity benefits. what youll do collaborate with product, engineering and business partners to understand data needed to make product, design and prioritization decisions assess data availability and quality, and work with data engineers to ensure required data sets are extracted and transformed, if needed, for analysis analyze and visualize data to generate actionable insights for business partners present your findings and recommendations to your business partners enable selfservice monitoring of key metrics through good dashboard experience, documentation and business partner training who you are at least 5 years of experience in a business andor product analytics role 3 years of experience building reports and dashboards with bi or reporting tools such as looker preferred or power bi, tableau, etc. solid understanding of sql, python and other analytics programming languages excellent communication verbal, written and visual and storytelling skills experience working with business partners from a broad range of business teams including product development is highly desirable passion for seeking insights, developing and telling a story with data readiness to learn new technologies and systems familiarity with the financial industry a plus our values act like an owner think and operate with intention, purpose and care. own outcomes. build together collaborate to unlock the best solutions. deliver lasting value. champion our clients exceed client expectations. our clients success is our success. drive innovation be bold and unconstrained in problem solving. transform the industry. embrace learning engage our community to broaden our perspective. bring a growth mindset. in addition to our core values, addepar is proud to be an equal opportunity employer. we seek to bring together diverse ideas, experiences, skill sets, perspectives, backgrounds and identities to drive innovative solutions. we commit to promoting a welcoming environment where inclusion and belonging are held as a shared responsibility. we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation. phishing scam warning addepar is among several companies recently made aware of a phishing scam involving con artists posing as hiring managers recruiting via email, text and social media. the imposters are creating misleading email accounts, conducting remote interviews, and making fake job offers in order to collect personal and financial information from unsuspecting individuals. please be aware that no job offers will be made from addepar without a formal interview process. additionally, addepar will not ask you to purchase equipment or supplies as part of your onboarding process. if you have any questions, please reach out to tainfoaddepar.com."
Technical Data Analyst,"role technical data analyst location mclean, va work mode onsite employment type contract job description banking and financial experience is a must have sql _________ yrs exp data analysis __________ yrs exp who has lead team of data analyst not worked along with pm, scrum master etc etc agile exp _______ yrs exp 8 years in a data analytics, data mining, data science role proficiency in sql. must have experience working with agile teams and able to create business and technical user stories in jira. prefer resources who have freddie macclient experience. familiarity with working on the command line, able to execute python scrips, navigate to log directories to analyse logs. strong analytical skills including the ability to quickly understand a variety of disparate data sources, distill complex data into analysis that drive decisions, and apply business knowledge to derive valuable insights ability to understand and translate nontechnical business requirements into technical rules or methodologies ability to quickly learn business operations and processes strong communication skills and ability to articulate complex material to a diverse audience ability to be flexible and adjust plans quickly to meet changing business needs job type contract pay 50.00 55.00 per hour benefits 401k dental insurance flexible schedule health insurance paid time off vision insurance schedule 8 hour shift work location on the road"
Data Integration Analyst,"location remote u.s. based employment type fulltime direct hire by partner citizenship requirement u.s. citizens or green card holders only industry banking financial services rate competitive based on experience about the role join an innovative enterprise banking project where your data integration expertise will power missioncritical systems across a dynamic application landscapeincluding salesforce, sap ecc, sap brim, sap rar, and oracle cpq. as a data integration analyst, youll play a key role in designing, building, and optimizing the way data flows through complex systems, enabling seamless digital transformation and operational excellence. this is more than just another integration rolethis is a chance to own your craft, collaborate across enterprise teams, and make a lasting impact in a highly visible environment. what youll be doing integration engineering analysis analyze integration needs across core enterprise platforms salesforce, sap, oracle cpq. design scalable, efficient, and secure data integration solutions that drive realtime and batch processes. build and configure integrations using modern tools apis, etlelt, middleware. develop transformation logic and implement data orchestration pipelines. test integrations for accuracy, performance, and security. provide ongoing support for production integrations and ensure system reliability. document architecture, data flows, and technical specifications with clarity and precision. partner with crossfunctional teams to deliver integrated, governed, and trusted data. data migration analytics define and execute robust data migration strategies for enterprise systems. conduct deep data profiling, identify anomalies, and drive cleanup initiatives. ensure data integrity through thorough testing and validation. collaborate with business and it teams to ensure seamless data transitions. maintain documentation and continuously improve data migration methodologies. provide production support for data quality and cleanup postgolive. what were looking for a selfstarter with strong technical chops and a businessfirst mindset. bachelors degree in computer science, information systems, or equivalent practical experience. 5 years of handson experience in data integration and data migration roles. solid knowledge of enterprise systems salesforce, sap eccbrimrar, oracle cpq. proficient in sql and comfortable working with complex data models. experience with integration and etl tools like informatica, mulesoft, snaplogic, dell boomi, or similar. strong knowledge of apis, data formats json, xml, csv, and integration patterns. excellent communicator who can translate business needs into technical solutions. deep understanding of data quality, governance, and security principles. bonus points for experience in banking or financial services. cloud integration experience aws, azure, gcp. knowledge of data compliance frameworks gdpr, ccpa. agile and devops environment exposure. why youll love this role 100 remote flexibility direct hire by our trusted partner highimpact, enterpriselevel projects collaborative, growthfocused culture visibility across business tech teams work with cuttingedge tools platforms"
